Classifier,XGBoost,SVM,RandomForest,LinearRegression,SGD
PRE_train,0.9995760915642221,0.9130583984335574,0.9949118371384162,1.0,0.5436865398978583
REC_train,0.9995760915642221,0.9130583984335574,0.9949118371384162,1.0,0.5436865398978583
ACC_train,0.9995760915642221,0.9130583984335574,0.9949118371384162,1.0,0.5436865398978583
AUC_train,1.0,0.99383691489247,0.9999731756018689,1.0,-1
F1_train,0.9995760915642221,0.9130583984335574,0.9949118371384162,1.0,0.5436865398978583
PRE_test,0.6563730755460079,0.6994718940207661,0.5798872180451128,0.6867615467239527,0.4856337271750806
REC_test,0.6563730755460079,0.6994718940207661,0.5798872180451128,0.6867615467239527,0.4856337271750806
ACC_test,0.6563730755460079,0.6994718940207661,0.5798872180451128,0.6867615467239527,0.4856337271750806
AUC_test,0.9337057701698019,0.9521247779494488,0.9057174884605858,0.9452170276735538,-1
F1_test,0.6563730755460079,0.6994718940207661,0.5798872180451128,0.6867615467239527,0.4856337271750806
